City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,29.93,74.0,100.0,16.11,CA,1700262600.0
1,port-aux-francais,-49.35,70.2167,42.06,97.0,100.0,29.21,TF,1700262600.0
2,longyearbyen,78.2186,15.6401,-4.94,91.0,41.0,2.86,SJ,1700262600.0
3,haiku-pauwela,20.9219,-156.3051,80.62,64.0,40.0,19.57,US,1700262601.0
4,constitucion,-35.3333,-72.4167,54.73,88.0,88.0,1.34,CL,1700262357.0
5,magadan,59.5667,150.8,18.63,94.0,100.0,1.54,RU,1700262601.0
6,blackmans bay,-43.0167,147.3167,60.93,77.0,100.0,1.99,AU,1700262602.0
7,kasongo-lunda,-6.4667,16.8167,71.31,98.0,100.0,0.83,CD,1700262357.0
8,volodymyr-volynskyi,50.8525,24.3236,38.46,87.0,100.0,11.5,UA,1700262358.0
9,middelburg,-25.7751,29.4648,69.3,55.0,68.0,2.33,ZA,1700262109.0
10,jamestown,42.097,-79.2353,50.52,99.0,100.0,10.36,US,1700262266.0
11,adamstown,-25.066,-130.1015,73.56,83.0,100.0,22.66,PN,1700262358.0
12,waitangi,-43.9535,-176.5597,55.81,76.0,38.0,8.99,NZ,1700262359.0
13,port alfred,-33.5906,26.891,62.19,92.0,81.0,10.96,ZA,1700262359.0
14,buedu,8.2803,-10.3719,75.2,79.0,97.0,1.99,SL,1700262359.0
15,hadibu,12.65,54.0333,79.74,82.0,81.0,9.37,YE,1700262360.0
16,iskateley,67.6803,53.1512,1.02,88.0,69.0,8.99,RU,1700262361.0
17,college,64.8569,-147.8028,10.45,85.0,100.0,8.05,US,1700262020.0
18,aasiaat,68.7098,-52.8699,6.67,85.0,56.0,9.4,GL,1700262361.0
19,maceio,-9.6658,-35.7353,78.24,83.0,0.0,8.05,BR,1700262362.0
20,mezhdurechenskiy,59.6,65.9333,13.35,96.0,57.0,3.42,RU,1700262362.0
21,kangding,30.0513,101.9603,44.31,91.0,100.0,1.23,CN,1700262363.0
22,saint-pierre,-21.3393,55.4781,73.56,88.0,40.0,5.75,RE,1700262363.0
23,magong,23.5654,119.5863,67.71,59.0,71.0,32.77,TW,1700262149.0
24,baotou,40.6522,109.8222,28.89,40.0,0.0,2.48,CN,1700262364.0
25,ulundi,-28.3352,31.4162,68.25,87.0,20.0,1.21,ZA,1700262146.0
26,klyuchi,52.2667,79.1667,43.27,59.0,100.0,7.87,RU,1700262364.0
27,punta arenas,-53.15,-70.9167,50.11,66.0,40.0,3.44,CL,1700262172.0
28,yanchep,-31.55,115.6833,68.61,48.0,0.0,12.48,AU,1700262365.0
29,albany,42.6001,-73.9662,60.24,66.0,100.0,1.01,US,1700262569.0
